proxy port: 62357
router: 1, pid: 16126, port: 38300
ICMP from tunnel, src: 10.5.51.2, dst: 10.5.51.4, type: 8
ICMP from port: 38300, src: 10.5.51.4, dst: 10.5.51.2, type: 0
ICMP from tunnel, src: 10.5.51.2, dst: 10.5.51.4, type: 8
ICMP from port: 38300, src: 10.5.51.4, dst: 10.5.51.2, type: 0
ICMP from tunnel, src: 10.5.51.2, dst: 10.5.51.4, type: 8
ICMP from port: 38300, src: 10.5.51.4, dst: 10.5.51.2, type: 0
ICMP from tunnel, src: 10.5.51.2, dst: 10.5.51.4, type: 8
ICMP from port: 38300, src: 10.5.51.4, dst: 10.5.51.2, type: 0
ICMP from tunnel, src: 10.5.51.2, dst: 10.5.51.4, type: 8
ICMP from port: 38300, src: 10.5.51.4, dst: 10.5.51.2, type: 0
